local_goals,local_name,match,visitor_goals,visitor_name
0,San Lorenzo,Torneo Clausura 1991 - Fecha 4,1,Huracan
0,Huracan,Campeonato 1990/91 - Fecha 4,0,San Lorenzo
1,Huracan,Campeonato 1985/86  - Fecha 38,1,San Lorenzo
0,San Lorenzo,Campeonato 1985/86  - Fecha 19,0,Huracan
1,San Lorenzo,Metropolitano 1984 - Fecha 37,1,Huracan
2,Huracan,Metropolitano 1984 - Fecha 18,2,San Lorenzo
2,San Lorenzo,Metropolitano 1983 - Fecha 23,1,Huracan
2,Huracan,Metropolitano 1983 - Fecha 4,2,San Lorenzo
0,San Lorenzo,Metropolitano 1981 - Fecha 25,1,Huracan
1,Huracan,Metropolitano 1981 - Fecha 8,3,San Lorenzo
1,Huracan,Metropolitano 1980 - Fecha 30,0,San Lorenzo
2,San Lorenzo,Metropolitano 1980 - Fecha 11,1,Huracan
2,Huracan,Nacional 1980 - Fecha Intergrupo,3,San Lorenzo
1,San Lorenzo,Nacional 1980 - Fecha Intergrupo,2,Huracan
1,Huracan,Nacional 1979 - Fecha Intergrupo,3,San Lorenzo
1,San Lorenzo,Nacional 1979 - Fecha Intergrupo,2,Huracan
2,San Lorenzo,Metropolitano 1978 - Fecha 42,1,Huracan
2,Huracan,Metropolitano 1978 - Fecha 21,3,San Lorenzo
1,Huracan,Metropolitano 1977 - Fecha 45,0,San Lorenzo
2,San Lorenzo,Metropolitano 1977 - Fecha 22,2,Huracan
4,Huracan,Metropolitano 1976 - Ronda Final,2,San Lorenzo
1,San Lorenzo,Metropolitano 1976 - Fecha Intergrupo,3,Huracan
3,Huracan,Metropolitano 1976 - Fecha Intergrupo,1,San Lorenzo
2,Huracan,Nacional 1976 - Fecha Intergrupo,1,San Lorenzo
1,San Lorenzo,Nacional 1976 - Fecha Intergrupo,2,Huracan
1,Huracan,Metropolitano 1975 - Fecha 38,1,San Lorenzo
1,San Lorenzo,Metropolitano 1975 - Fecha 19,0,Huracan
2,San Lorenzo,Nacional 1975 - Fecha Intergrupo,2,Huracan
0,Huracan,Nacional 1975 - Fecha Intergrupo,1,San Lorenzo
0,San Lorenzo,Metropolitano 1974 - Fecha Intergrupo,2,Huracan
0,Huracan,Metropolitano 1974 - Fecha Intergrupo,2,San Lorenzo
2,San Lorenzo,Nacional 1974 - Fecha Intergrupo,2,Huracan
2,Huracan,Nacional 1974 - Fecha Intergrupo,0,San Lorenzo
1,San Lorenzo,Metropolitano 1973 - Fecha 33,0,Huracan
2,Huracan,Metropolitano 1973 - Fecha 16,2,San Lorenzo
2,San Lorenzo,Nacional 1973 - Fecha Intergrupo,2,Huracan
3,Huracan,Metropolitano 1972 - Fecha 31,0,San Lorenzo
2,San Lorenzo,Metropolitano 1972 - Fecha 14,2,Huracan
3,San Lorenzo,Nacional 1972 - Fecha Intergrupo,0,Huracan
2,San Lorenzo,Metropolitano 1971 - Fecha 25,0,Huracan
1,Huracan,Metropolitano 1971 - Fecha 6,5,San Lorenzo
0,Huracan,Nacional 1971 - Fecha Intergrupo,3,San Lorenzo
3,Huracan,Metropolitano 1970 - Fecha 8,2,San Lorenzo
3,Huracan,Metropolitano 1969 - Fecha Intergrupo,1,San Lorenzo
1,San Lorenzo,Metropolitano 1969 - Fecha Intergrupo,2,Huracan
2,San Lorenzo,Nacional 1969 - Fecha 17,1,Huracan
2,San Lorenzo,Metropolitano 1968 - Fecha Intergrupo,2,Huracan
0,Huracan,Metropolitano 1968 - Fecha Intergrupo,0,San Lorenzo
3,San Lorenzo,Nacional 1968 - Fecha 5,1,Huracan
2,San Lorenzo,Metropolitano 1967 - Fecha Intergrupo,1,Huracan
0,Huracan,Metropolitano 1967 - Fecha Intergrupo,2,San Lorenzo
4,San Lorenzo,Campeonato 1966 - Fecha 29,1,Huracan
1,Huracan,Campeonato 1966 - Fecha 10,2,San Lorenzo
4,San Lorenzo,Campeonato 1965 - Fecha 34,2,Huracan
0,Huracan,Campeonato 1965 - Fecha 17,1,San Lorenzo
3,San Lorenzo,Campeonato 1964 - Fecha 27,0,Huracan
0,Huracan,Campeonato 1964 - Fecha 12,0,San Lorenzo
0,Huracan,Campeonato 1963 - Fecha 22,0,San Lorenzo
3,San Lorenzo,Campeonato 1963 - Fecha 9,1,Huracan
2,San Lorenzo,Campeonato 1962 - Fecha 18,2,Huracan
1,Huracan,Campeonato 1962 - Fecha 3,0,San Lorenzo
0,Huracan,Campeonato 1961 - Fecha 18,0,San Lorenzo
5,San Lorenzo,Campeonato 1961 - Fecha 1,2,Huracan
2,Huracan,Campeonato 1960 - Fecha 27,4,San Lorenzo
2,San Lorenzo,Campeonato 1960 - Fecha 12,0,Huracan
6,San Lorenzo,Campeonato 1959 - Fecha 27,3,Huracan
1,Huracan,Campeonato 1959 - Fecha 12,4,San Lorenzo
2,Huracan,Campeonato 1958 - Fecha 27,4,San Lorenzo
3,San Lorenzo,Campeonato 1958 - Fecha 12,1,Huracan
1,San Lorenzo,Campeonato 1957 - Fecha 19,0,Huracan
3,Huracan,Campeonato 1957 - Fecha 4,5,San Lorenzo
0,San Lorenzo,Campeonato 1956 - Fecha 24,1,Huracan
2,Huracan,Campeonato 1956 - Fecha 9,4,San Lorenzo
2,Huracan,Campeonato 1955 - Fecha 30,3,San Lorenzo
0,San Lorenzo,Campeonato 1955 - Fecha 15,0,Huracan
1,Huracan,Campeonato 1954 - Fecha 24,1,San Lorenzo
2,San Lorenzo,Campeonato 1954 - Fecha 9,1,Huracan
3,San Lorenzo,Campeonato 1953 - Fecha 24,1,Huracan
1,Huracan,Campeonato 1953 - Fecha 9,0,San Lorenzo
2,Huracan,Campeonato 1952 - Fecha 17,3,San Lorenzo
0,San Lorenzo,Campeonato 1952 - Fecha 2,1,Huracan
2,San Lorenzo,Campeonato 1951 - Fecha 20,2,Huracan
4,Huracan,Campeonato 1951 - Fecha 3,4,San Lorenzo
2,San Lorenzo,Campeonato 1950 - Fecha 20,3,Huracan
1,Huracan,Campeonato 1950 - Fecha 3,3,San Lorenzo
0,San Lorenzo,Campeonato 1949 - Fecha 28,1,Huracan
1,Huracan,Campeonato 1949 - Fecha 11,1,San Lorenzo
1,Huracan,Campeonato 1948 - Fecha 16,2,San Lorenzo
0,San Lorenzo,Campeonato 1948 - Fecha 1,1,Huracan
3,San Lorenzo,Campeonato 1947 - Fecha 21,3,Huracan
1,Huracan,Campeonato 1947 - Fecha 6,1,San Lorenzo
0,Huracan,Campeonato 1946 - Fecha 21,2,San Lorenzo
2,San Lorenzo,Campeonato 1946 - Fecha 6,3,Huracan
3,Huracan,Campeonato 1945 - Fecha 24,1,San Lorenzo
4,San Lorenzo,Campeonato 1945 - Fecha 9,2,Huracan
2,San Lorenzo,Campeonato 1944 - Fecha 16,2,Huracan
5,Huracan,Campeonato 1944 - Fecha 1,1,San Lorenzo
2,San Lorenzo,Campeonato 1943 - Fecha 30,0,Huracan
1,Huracan,Campeonato 1943 - Fecha 15,1,San Lorenzo
1,Huracan,Campeonato 1942 - Fecha 17,3,San Lorenzo
2,San Lorenzo,Campeonato 1942 - Fecha 2,1,Huracan
0,Huracan,Campeonato 1941 - Fecha 19,3,San Lorenzo
5,San Lorenzo,Campeonato 1941 - Fecha 4,2,Huracan
3,San Lorenzo,Campeonato 1940 - Fecha 18,3,Huracan
2,Huracan,Campeonato 1940 - Fecha 1,4,San Lorenzo
2,San Lorenzo,Campeonato 1939 - Fecha 24,5,Huracan
3,Huracan,Campeonato 1939 - Fecha 7,2,San Lorenzo
1,Huracan,Campeonato 1938 - Fecha 29,2,San Lorenzo
4,San Lorenzo,Campeonato 1938 - Fecha 12,2,Huracan
0,Huracan,Campeonato 1937 - Fecha 30,1,San Lorenzo
1,San Lorenzo,Campeonato 1937 - Fecha 12,0,Huracan
2,San Lorenzo,Campeonato 1936 - Fecha 5,1,Huracan
1,Huracan,Copa de Honor 1936 - Fecha 5,0,San Lorenzo
3,San Lorenzo,Campeonato 1935 - Fecha 29,0,Huracan
2,Huracan,Campeonato 1935 - Fecha 12,1,San Lorenzo
2,Huracan,Campeonato 1934 - Fecha 32,1,San Lorenzo
5,San Lorenzo,Campeonato 1934 - Fecha 16,1,Huracan
0,Huracan,Campeonato 1934 - Fecha 3,3,San Lorenzo
1,San Lorenzo,Campeonato 1933 - Fecha 21,4,Huracan
1,Huracan,Campeonato 1933 - Fecha 4,2,San Lorenzo
2,Huracan,Campeonato 1932 - Fecha 19,0,San Lorenzo
2,San Lorenzo,Campeonato 1932 - Fecha 2,1,Huracan
1,Huracan,Campeonato 1931 - Fecha 26,1,San Lorenzo
3,San Lorenzo,Campeonato 1931 - Fecha 9,0,Huracan
1,Rosario Central,Superliga 2017/18 - Fecha 12,0,Newells
1,Newells,Campeonato 2016/17 - Fecha 24,3,Rosario Central
0,Rosario Central,Campeonato 2016/17 - Fecha 7,1,Newells
0,Newells,Torneo 2016 - Fecha 12,0,Rosario Central
2,Rosario Central,Torneo 2016 - Fecha 2,0,Newells
